step,time,pos_x,pos_y,pos_z,euler_z,euler_y,euler_x,vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,target_x,target_y,target_z,target_dist,action_0,action_1,action_2,action_3,reward,cumulative_reward,terminated,truncated
0,0.0,0.9524036645889282,0.40524864196777344,4.209598064422607,3.092846632003784,3.0391299724578857,-3.1118242740631104,0.9270832538604736,-0.6736522912979126,0.7575802803039551,0.0,0.0,0.0,0.0,0.0,5.0,1.3023188633754919,0.7747246026992798,-0.5064468383789062,0.9326732158660889,-0.9999573826789856,-0.0511605441570282,-0.0511605441570282,False,False
1,0.02,0.9712133407592773,0.391683965921402,4.225429058074951,3.0954298973083496,3.0374860763549805,-3.1132774353027344,0.9539501667022705,-0.6827524900436401,0.8254566788673401,-0.17202535271644592,0.1717045158147812,0.2520730495452881,0.0,0.0,5.0,1.3025482050593642,0.49931466579437256,-0.23005974292755127,0.8217105865478516,-0.9999486207962036,-0.05145970359444618,-0.10262024775147438,False,False
2,0.04,0.9905555248260498,0.37794923782348633,4.242501735687256,3.1025168895721436,3.0336661338806152,-3.1224193572998047,0.9804493188858032,-0.6903478503227234,0.8819301128387451,-0.8173338770866394,0.22675812244415283,0.4430399239063263,0.0,0.0,5.0,1.3030155388833953,0.2536062002182007,-0.33561110496520996,0.5681328773498535,-0.9998021721839905,-0.051997214555740356,-0.15461746230721474,False,False
3,0.06,1.0103758573532104,0.364106684923172,4.260114669799805,3.113039255142212,3.027649402618408,3.1403560638427734,1.0018011331558228,-0.6932464241981506,0.8793703317642212,-1.3402372598648071,0.3838154673576355,0.5973478555679321,0.0,0.0,5.0,1.3041715197677908,0.17341923713684082,-0.8274723887443542,-0.8376923203468323,-0.9922024011611938,-0.0516907162964344,-0.20630817860364914,False,False
4,0.08,1.0304878950119019,0.3502446115016937,4.276396751403809,3.125715494155884,3.027229070663452,3.122328996658325,1.0094144344329834,-0.6927391886711121,0.7487894892692566,-0.6075337529182434,-0.3557041883468628,0.6600466966629028,0.0,0.0,5.0,1.3069729343146301,0.03417706489562988,-0.721883237361908,-0.729320228099823,-0.9918347001075745,-0.05201716721057892,-0.25832534581422806,False,False
5,0.1,1.050734519958496,0.3364003896713257,4.289931297302246,3.139791488647461,3.039872884750366,3.1175622940063477,1.0151652097702026,-0.6916274428367615,0.6046634912490845,-0.0213319119066,-0.9393175840377808,0.709781289100647,0.0,0.0,5.0,1.3120235577741362,-0.087546706199646,-0.6288720369338989,-0.5476889610290527,-0.9922943711280823,0.005367617588490248,-0.2529577282257378,False,False
6,0.12,1.0710766315460205,0.32257726788520813,4.300465106964111,0.013345588929951191,0.07878225296735764,-0.01850668340921402,1.0188944339752197,-0.6907068490982056,0.4487415552139282,0.4369002878665924,-1.386415958404541,0.7481828927993774,0.0,0.0,5.0,1.319321913323275,-0.7925809621810913,0.9156181812286377,-0.05008977651596069,-0.9923599362373352,0.0040305741131305695,-0.24892715411260724,False,False
7,0.14,1.0915817022323608,0.3087990880012512,4.309302806854248,0.028233278542757034,0.04082139953970909,-0.029010990634560585,1.030500888824463,-0.6868696212768555,0.43513011932373047,-1.5781480073928833,-2.4415106773376465,0.6582704782485962,0.0,0.0,5.0,1.3281453617802244,-0.3652842044830322,0.1406470537185669,-0.1971273422241211,-0.8187528848648071,0.0028542352374643087,-0.24607291887514293,False,False
8,0.16,1.1122188568115234,0.29510340094566345,4.3171000480651855,0.0438009575009346,-0.012604143470525742,-0.0689626932144165,1.032259225845337,-0.68205326795578,0.3445616066455841,-2.4387242794036865,-2.9700987339019775,0.6393648386001587,0.0,0.0,5.0,1.3380841330235558,-0.2734544277191162,-0.450935959815979,-0.4110218286514282,0.08119940757751465,0.003916461020708084,-0.24215645785443485,False,False
9,0.18,1.132834553718567,0.28153643012046814,4.322954177856445,0.06125866249203682,-0.06650052219629288,-0.11095945537090302,1.0284286737442017,-0.6740483641624451,0.2406991571187973,-1.690821886062622,-2.555114984512329,0.6100608110427856,0.0,0.0,5.0,1.349432448426287,-0.2726997137069702,0.0146026611328125,-0.29336321353912354,-0.1614934802055359,0.0035296210553497076,-0.23862683679908514,False,False
10,0.2,1.1532928943634033,0.268200546503067,4.32705545425415,0.07993751019239426,-0.11789162456989288,-0.14801393449306488,1.0162575244903564,-0.6588947176933289,0.16923223435878754,-1.8424521684646606,-2.7807984352111816,0.5710335969924927,0.0,0.0,5.0,1.3619362668578687,-0.2745860815048218,-0.20611780881881714,-0.2918581962585449,0.48694074153900146,0.004552800673991442,-0.2340740361250937,False,False
11,0.22,1.173378586769104,0.25526726245880127,4.3301239013671875,0.09852132946252823,-0.1638542264699936,-0.17960232496261597,0.9909138679504395,-0.6337379217147827,0.13735446333885193,-1.055197834968567,-2.054079294204712,0.4921485185623169,0.0,0.0,5.0,1.375031879881695,-0.42508935928344727,0.3617560863494873,-0.1305840015411377,-0.18426275253295898,0.003668884513899684,-0.23040515161119401,False,False
12,0.24,1.1928960084915161,0.2428591549396515,4.3324480056762695,0.11631851643323898,-0.20513993501663208,-0.21300175786018372,0.9596585631370544,-0.606445848941803,0.09473024308681488,-1.9586323499679565,-2.335365056991577,0.42388689517974854,0.0,0.0,5.0,1.3883829159632377,-0.03762000799179077,-0.2424837350845337,-0.13235223293304443,0.6891374588012695,0.0048475381918251514,-0.22555761341936886,False,False
