step,time,pos_x,pos_y,pos_z,euler_z,euler_y,euler_x,vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,target_x,target_y,target_z,target_dist,action_0,action_1,action_2,action_3,reward,cumulative_reward,terminated,truncated
0,0.0,0.16713035106658936,0.179144024848938,5.13997220993042,3.006706714630127,3.0543484687805176,3.0021018981933594,-0.6603975296020508,-0.8551946878433228,0.7254812717437744,0.0,0.0,0.0,0.0,0.0,5.0,0.282165475279177,0.4019813537597656,-0.9938521385192871,0.6197798252105713,-0.9640363454818726,-0.045539744198322296,-0.045539744198322296,False,False
1,0.02,0.1541297435760498,0.16229090094566345,5.154476165771484,3.008244514465332,3.051738977432251,2.9998672008514404,-0.6395885348320007,-0.830061137676239,0.7249133586883545,-0.23715509474277496,0.23682470619678497,0.18823663890361786,0.0,0.0,5.0,0.27195073115554064,0.4562891721725464,-0.9933141469955444,0.4420161247253418,-0.945929229259491,-0.045463670045137405,-0.0910034142434597,False,False
2,0.04,0.14153951406478882,0.1459304243326187,5.168848037719727,3.0130844116210938,3.046416997909546,2.9957215785980225,-0.6192779541015625,-0.8058670163154602,0.7122380137443542,-0.22232483327388763,0.22059057652950287,0.36497896909713745,0.0,0.0,5.0,0.26427028328852437,0.34923791885375977,-0.9903127551078796,0.2974433898925781,-0.9299291968345642,-0.04543923959136009,-0.1364426538348198,False,False
3,0.06,0.12933668494224548,0.13002806901931763,5.1827216148376465,3.021296501159668,3.041320562362671,2.9926323890686035,-0.6008906960487366,-0.7842777371406555,0.6750686168670654,-0.16690094769001007,0.16328592598438263,0.5182937979698181,0.0,0.0,5.0,0.2588869740516493,0.25189340114593506,-0.9854092597961426,0.1608598232269287,-0.9177465438842773,-0.045494724065065384,-0.18193737789988518,False,False
4,0.08,0.11748091131448746,0.11453120410442352,5.195624351501465,3.0325679779052734,3.0373361110687256,2.9914300441741943,-0.5846267342567444,-0.7653607130050659,0.6151958107948303,-0.06856946647167206,0.06347879022359848,0.6498283743858337,0.0,0.0,5.0,0.25531950206997556,0.147377610206604,-0.9768857955932617,0.06527447700500488,-0.9086194634437561,-0.04564104601740837,-0.22757842391729355,False,False
5,0.1,0.10592971742153168,0.09938785433769226,5.207136631011963,3.0465574264526367,3.034858465194702,2.992424726486206,-0.570482075214386,-0.7489639520645142,0.5359694361686707,0.020631060004234314,-0.02603798918426037,0.7627329230308533,0.0,0.0,5.0,0.2529913724415162,0.058963775634765625,-0.9625515341758728,0.007904410362243652,-0.9029238820075989,-0.045859914273023605,-0.27343833819031715,False,False
6,0.12,0.09464435279369354,0.08455277979373932,5.216923236846924,3.062880039215088,3.0335254669189453,2.995148181915283,-0.5580718517303467,-0.7345572710037231,0.44268742203712463,0.07667902857065201,-0.08115275949239731,0.8620638251304626,0.0,0.0,5.0,0.2513213416539318,0.00851905345916748,-0.935583770275116,-0.043425023555755615,-0.9024306535720825,-0.046138737350702286,-0.31957707554101944,False,False
7,0.14,0.08359397202730179,0.06999099254608154,5.224746227264404,3.081252098083496,3.0330698490142822,2.999243974685669,-0.546999990940094,-0.7216506600379944,0.33962348103523254,0.13430234789848328,-0.13660632073879242,0.9519190192222595,0.0,0.0,5.0,0.24979503170893977,0.011435747146606445,-0.8962027430534363,-0.08903765678405762,-0.9064507484436035,-0.04650108143687248,-0.3660781569778919,False,False
8,0.16,0.07275773584842682,0.05567953735589981,5.230466842651367,3.1016032695770264,3.0340728759765625,3.005239486694336,-0.5366807579994202,-0.7095469832420349,0.2325017750263214,0.24574099481105804,-0.24382434785366058,1.0377992391586304,0.0,0.0,5.0,0.24800980740213993,-0.001759350299835205,-0.8236861824989319,-0.11960828304290771,-0.9162666201591492,-0.04696524515748024,-0.41304340213537216,False,False
9,0.18,0.06211905553936958,0.04160075634717941,5.234004974365234,3.123920440673828,3.037299394607544,3.013833522796631,-0.5272717475891113,-0.6984137296676636,0.1212538331747055,0.3776535987854004,-0.368313193321228,1.119604468345642,0.0,0.0,5.0,0.24565774568988186,-0.01884293556213379,-0.6964544057846069,-0.13338589668273926,-0.9284512400627136,0.009067120961844921,-0.40397628117352724,False,False
10,0.2,0.051659565418958664,0.027735082432627678,5.235289096832275,0.006502985488623381,0.09862513095140457,-0.11645504832267761,-0.5187910795211792,-0.6882697939872742,0.0071618990041315556,0.5078091025352478,-0.48723942041397095,1.1985362768173218,0.0,0.0,5.0,0.2424848543413963,-0.9894322156906128,-0.09559297561645508,-0.7444892525672913,0.39469361305236816,0.008991432376205921,-0.3949848487973213,False,False
11,0.22,0.041405029594898224,0.014114140532910824,5.234732151031494,0.029722435399889946,0.09679704904556274,-0.09867788851261139,-0.5067574977874756,-0.6741344928741455,-0.06295693665742874,1.0440897941589355,0.05600739270448685,1.0775827169418335,0.0,0.0,5.0,0.23877346621140577,-0.9887049794197083,0.07400321960449219,-0.6862993240356445,0.1722126007080078,0.009013441391289234,-0.3859714074060321,False,False
12,0.24,0.031384702771902084,0.0007482407963834703,5.232722282409668,0.04993835464119911,0.1008758470416069,-0.07474727183580399,-0.4952116012573242,-0.6628888249397278,-0.1379726529121399,1.1496554613113403,0.1752862185239792,0.961553156375885,0.0,0.0,5.0,0.23483019431566987,-0.9819375276565552,0.29066014289855957,-0.5955522656440735,0.07847392559051514,0.009172039106488228,-0.37679936829954386,False,False
13,0.26,0.021611563861370087,-0.012410585768520832,5.229334354400635,0.06786168366670609,0.10331618785858154,-0.05223992094397545,-0.48203763365745544,-0.6534517407417297,-0.20084430277347565,0.9180956482887268,-0.04525694623589516,0.834079384803772,0.0,0.0,5.0,0.23068447810810297,-0.9712555408477783,0.2803046703338623,-0.4286518692970276,0.16127479076385498,0.009295778349041939,-0.3675035899505019,False,False
14,0.28,0.012118151411414146,-0.025398993864655495,5.22482967376709,0.0833919420838356,0.10263316333293915,-0.034346092492341995,-0.46730276942253113,-0.6457926630973816,-0.24955981969833374,0.7115153074264526,-0.09014144539833069,0.7065035104751587,0.0,0.0,5.0,0.2265840698045271,-0.9427616000175476,0.3240755796432495,-0.2602084279060364,0.10636651515960693,0.009433737955987453,-0.35806985199451447,False,False
15,0.3,0.0029343313071876764,-0.038250163197517395,5.219505786895752,0.0965198278427124,0.10148128122091293,-0.023750580847263336,-0.45109620690345764,-0.639592170715332,-0.28283199667930603,0.21425609290599823,-0.06271354854106903,0.5956474542617798,0.0,0.0,5.0,0.22283284265471354,-0.8351437449455261,0.22600769996643066,-0.12236815690994263,0.10726761817932129,0.00946198869496584,-0.3486078632995486,False,False
16,0.32,-0.005922122858464718,-0.05098672956228256,5.213556289672852,0.10756167769432068,0.10329774767160416,-0.023745164275169373,-0.43451741337776184,-0.634049117565155,-0.31210482120513916,-0.3263084590435028,0.2186923772096634,0.5066720247268677,0.0,0.0,5.0,0.21963835500532,-0.5179633498191833,0.24786341190338135,-0.05978798866271973,0.01867091655731201,0.009299363940954208,-0.3393084993585944,False,False
17,0.34,-0.014443189837038517,-0.06360484659671783,5.2070159912109375,0.11677683889865875,0.11020398885011673,-0.036593493074178696,-0.4174572825431824,-0.6273905038833618,-0.34187909960746765,-1.0564069747924805,0.44476068019866943,0.4297372102737427,0.0,0.0,5.0,0.21704792756510644,-0.04572564363479614,0.2937847375869751,-0.018651604652404785,-0.008409380912780762,0.009218154475092888,-0.33009034488350153,False,False
18,0.36,-0.02256108447909355,-0.07603158056735992,5.200379371643066,0.12482050806283951,0.11643928289413452,-0.06040722131729126,-0.3942212462425232,-0.6143958568572998,-0.32183751463890076,-1.4160406589508057,0.139729842543602,0.39717328548431396,0.0,0.0,5.0,0.21550335578944904,0.05507373809814453,-0.09944069385528564,-0.049914538860321045,0.23114657402038574,0.009421595372259617,-0.3206687495112419,False,False
19,0.38,-0.03021984174847603,-0.08814860135316849,5.194057464599609,0.13229259848594666,0.12218596786260605,-0.08311206847429276,-0.371601402759552,-0.596463143825531,-0.31041333079338074,-0.9432122111320496,0.38007405400276184,0.38539111614227295,0.0,0.0,5.0,0.21527125753953175,0.018848538398742676,0.06835317611694336,-0.0551835298538208,0.012410521507263184,0.00947633571922779,-0.3111924137920141,False,False
20,0.4,-0.037430115044116974,-0.09987003356218338,5.187869548797607,0.13935424387454987,0.12900583446025848,-0.10090738534927368,-0.34931060671806335,-0.5750461220741272,-0.3084547519683838,-0.9248286485671997,0.23470351099967957,0.3744884729385376,0.0,0.0,5.0,0.2160324153485862,0.040534138679504395,-0.08488398790359497,-0.02755451202392578,0.044637322425842285,0.009527982212603092,-0.30166443157941103,False,False
21,0.42,-0.04419693350791931,-0.11113402992486954,5.181646823883057,0.14632835984230042,0.13512103259563446,-0.11634694784879684,-0.3272891938686371,-0.550811767578125,-0.3139225244522095,-0.7109220027923584,0.29812493920326233,0.3794442415237427,0.0,0.0,5.0,0.21748496537840825,0.04184901714324951,-0.06221073865890503,-0.03417772054672241,-0.015607655048370361,0.009561484679579735,-0.2921029468998313,False,False
22,0.44,-0.05052236095070839,-0.12188857793807983,5.175268173217773,0.15332067012786865,0.14163051545619965,-0.12827831506729126,-0.30514827370643616,-0.5242202281951904,-0.32399463653564453,-0.5786828994750977,0.2633626461029053,0.38740384578704834,0.0,0.0,5.0,0.2193815555850046,0.043641090393066406,-0.07333213090896606,-0.03901851177215576,-0.04140365123748779,0.009578789584338665,-0.28252415731549263,False,False
23,0.46,-0.05640352889895439,-0.13209311664104462,5.16864538192749,0.16056393086910248,0.14732445776462555,-0.13757213950157166,-0.2828810513019562,-0.49590063095092773,-0.3383316099643707,-0.45502233505249023,0.20590604841709137,0.39851677417755127,0.0,0.0,5.0,0.22152023470028387,0.04725384712219238,-0.0571138858795166,-0.05784350633621216,-0.05702692270278931,0.009593418799340725,-0.2729307385161519,False,False
24,0.48,-0.06183645874261856,-0.14171482622623444,5.161717891693115,0.1682211458683014,0.1513873040676117,-0.14439454674720764,-0.26036491990089417,-0.46601876616477966,-0.3544132709503174,-0.34123119711875916,0.08985954523086548,0.40815794467926025,0.0,0.0,5.0,0.22373984020693663,0.0301816463470459,-0.0602986216545105,-0.05494505167007446,-0.025219380855560303,0.009606416337192059,-0.26332432217895985,False,False
25,0.5,-0.06681549549102783,-0.1507227122783661,5.15447998046875,0.17626528441905975,0.1538151651620865,-0.14869089424610138,-0.23753327131271362,-0.4345949590206146,-0.3693472146987915,-0.21071527898311615,0.034142859280109406,0.4138144254684448,0.0,0.0,5.0,0.22593297855754496,-0.009445011615753174,-0.020536422729492188,-0.07566678524017334,-0.01914578676223755,0.009609069675207138,-0.2537152525037527,False,False
26,0.52,-0.07133974879980087,-0.15909551084041595,5.146928310394287,0.18451005220413208,0.1550142914056778,-0.1509009599685669,-0.2149122655391693,-0.40258124470710754,-0.3858146667480469,-0.13713867962360382,-0.03719576448202133,0.409584641456604,0.0,0.0,5.0,0.22801024039220602,-0.025966227054595947,-0.014552056789398193,-0.0777774453163147,0.011459112167358398,0.009608774445950985,-0.24410647805780172,False,False
27,0.54,-0.07541122287511826,-0.16681960225105286,5.139063835144043,0.19276997447013855,0.15521743893623352,-0.1515183001756668,-0.19227734208106995,-0.3697752058506012,-0.4006226658821106,-0.05222764611244202,-0.06569583714008331,0.4002135992050171,0.0,0.0,5.0,0.22990081008054278,-0.03308820724487305,0.010552644729614258,-0.09090101718902588,0.022288799285888672,0.0096037108451128,-0.23450276721268892,False,False
28,0.56,-0.07903088629245758,-0.17388269305229187,5.130918025970459,0.20090964436531067,0.154604971408844,-0.1505458950996399,-0.16974402964115143,-0.33653220534324646,-0.4139215052127838,0.023845160380005836,-0.11589472740888596,0.385611891746521,0.0,0.0,5.0,0.23156122614827096,-0.023882925510406494,0.007177233695983887,-0.09395605325698853,0.05137670040130615,0.00959726795554161,-0.2249054992571473,False,False
29,0.58,-0.082199826836586,-0.18027649819850922,5.122537612915039,0.20885369181632996,0.15315984189510345,-0.14760223031044006,-0.14721715450286865,-0.3029111325740814,-0.4240886867046356,0.14873073995113373,-0.14368902146816254,0.36918866634368896,0.0,0.0,5.0,0.23296328876798972,-0.02793365716934204,0.017213106155395508,-0.10220414400100708,0.05656397342681885,0.009585014544427395,-0.21532048471271992,False,False
30,0.6,-0.0849219560623169,-0.18600286543369293,5.113958358764648,0.2165297120809555,0.15098826587200165,-0.142221599817276,-0.12506237626075745,-0.2698683738708496,-0.43381431698799133,0.2730114758014679,-0.18084418773651123,0.35020315647125244,0.0,0.0,5.0,0.23408398514919146,-0.035044193267822266,0.009625554084777832,-0.0971534252166748,0.06319749355316162,0.009571205824613571,-0.20574927888810635,False,False
31,0.62,-0.0872054323554039,-0.19107922911643982,5.1051836013793945,0.22387009859085083,0.14826686680316925,-0.1344011276960373,-0.10334763675928116,-0.23799072206020355,-0.44358766078948975,0.39958590269088745,-0.1888633519411087,0.33111464977264404,0.0,0.0,5.0,0.23490348918473986,-0.039784014225006104,0.004572391510009766,-0.07376211881637573,0.027882099151611328,0.009569214656949043,-0.1961800642311573,False,False
32,0.64,-0.08906055986881256,-0.19553644955158234,5.096195220947266,0.23087865114212036,0.14526031911373138,-0.1247539222240448,-0.08221609890460968,-0.2080124318599701,-0.45515117049217224,0.46262162923812866,-0.1989193558692932,0.31752121448516846,0.0,0.0,5.0,0.23541411801435805,-0.02994084358215332,-0.014712870121002197,-0.03878909349441528,-0.009920954704284668,0.00957456137984991,-0.1866055028513074,False,False
33,0.66,-0.09049742668867111,-0.1994137167930603,5.086967945098877,0.2376910299062729,0.14203564822673798,-0.11437071859836578,-0.0615173876285553,-0.18001960217952728,-0.46757960319519043,0.4781656563282013,-0.20168446004390717,0.31341564655303955,0.0,0.0,5.0,0.23562478256163025,-0.017186403274536133,-0.019526541233062744,-0.029728293418884277,-0.0340876579284668,0.009572204202413559,-0.17703329864889383,False,False
34,0.68,-0.09152397513389587,-0.20275092124938965,5.077487945556641,0.24446389079093933,0.1384325921535492,-0.10387499630451202,-0.041190095245838165,-0.15401172637939453,-0.48038941621780396,0.47672054171562195,-0.22951193153858185,0.31403934955596924,0.0,0.0,5.0,0.23556093860904675,-0.01997607946395874,-0.011803209781646729,-0.014329493045806885,-0.05411785840988159,0.009574586525559425,-0.1674587121233344,False,False
