step,time,pos_x,pos_y,pos_z,euler_z,euler_y,euler_x,vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,target_x,target_y,target_z,target_dist,action_0,action_1,action_2,action_3,reward,cumulative_reward,terminated,truncated
0,0.0,-0.26132357120513916,-0.4200896620750427,4.18172550201416,3.066425323486328,2.990661382675171,-3.1368231773376465,-0.1459425687789917,0.1673719882965088,0.845526933670044,0.0,0.0,0.0,0.0,0.0,5.0,0.9562104826363854,0.48683369159698486,-0.9886066317558289,0.2005293369293213,0.06904184818267822,-0.04857904091477394,-0.04857904091477394,False,False
1,0.02,-0.2639106810092926,-0.4167804419994354,4.198862075805664,3.0675082206726074,2.987593173980713,-3.127352237701416,-0.1126929372549057,0.16324445605278015,0.8681290149688721,0.9305938482284546,0.3080093562602997,0.10412157326936722,0.0,0.0,5.0,0.9408383272201675,0.0402294397354126,-0.9596352577209473,0.4114100933074951,-0.8973557949066162,-0.04826352745294571,-0.09684256836771965,False,False
2,0.04,-0.2659456431865692,-0.4135586619377136,4.21566915512085,3.071227788925171,2.9774646759033203,-3.1121976375579834,-0.09060417115688324,0.15856754779815674,0.8125317096710205,0.5256830453872681,0.713234007358551,0.2392769157886505,0.0,0.0,5.0,0.9257066091491796,0.008379101753234863,-0.9608049392700195,0.22478532791137695,-0.8074138760566711,-0.047991376370191574,-0.14483394473791122,False,False
3,0.06,-0.26755833625793457,-0.4104400873184204,4.231149196624756,3.077831268310547,2.961047410964966,-3.1029298305511475,-0.07036132365465164,0.15309934318065643,0.7354722619056702,0.28744152188301086,0.9500241875648499,0.35409095883369446,0.0,0.0,5.0,0.9116907844383559,-0.06601923704147339,-0.9541290998458862,0.11422419548034668,-0.7551526427268982,-0.04779285192489624,-0.19262679666280746,False,False
4,0.08,-0.268778532743454,-0.4074312150478363,4.244906425476074,3.086923122406006,2.9404311180114746,-3.0974602699279785,-0.05132254958152771,0.14770090579986572,0.6401770114898682,0.08660466969013214,1.146969199180603,0.45168426632881165,0.0,0.0,5.0,0.8991153435162809,-0.09121674299240112,-0.9431279301643372,0.04219663143157959,-0.7098308205604553,-0.047635532915592194,-0.24026232957839966,False,False
5,0.1,-0.26961541175842285,-0.40452903509140015,4.256659984588623,3.098200798034668,2.9165165424346924,-3.0948572158813477,-0.03200414404273033,0.14249290525913239,0.5350950360298157,-0.06529679894447327,1.2921849489212036,0.5402254462242126,0.0,0.0,5.0,0.8881951300257332,-0.11508303880691528,-0.9237714409828186,-0.02954965829849243,-0.6895519495010376,-0.04749852791428566,-0.2877608574926853,False,False
6,0.12,-0.27006441354751587,-0.40172630548477173,4.266215801239014,3.111427068710327,2.8903262615203857,-3.094054698944092,-0.012538331560790539,0.1377987414598465,0.4203798472881317,-0.16699913144111633,1.384499430656433,0.6198644042015076,0.0,0.0,5.0,0.8790665858366535,-0.16407924890518188,-0.8962028622627258,-0.10870611667633057,-0.6762046813964844,-0.0473778061568737,-0.335138663649559,False,False
7,0.14,-0.2701338231563568,-0.39900895953178406,4.273350715637207,3.126352548599243,2.8627004623413086,-3.0941853523254395,0.005919045768678188,0.1339718997478485,0.29298174381256104,-0.2375258058309555,1.4432796239852905,0.6875719428062439,0.0,0.0,5.0,0.8718942680535673,-0.21791356801986694,-0.845199704170227,-0.19688856601715088,-0.646170973777771,0.007521221414208412,-0.3276174422353506,False,False
8,0.16,-0.2698536515235901,-0.3963584303855896,4.277798175811768,0.0011107833124697208,0.30726003646850586,0.04704037681221962,0.02236309088766575,0.1311284452676773,0.1517084240913391,-0.27195030450820923,1.46413254737854,0.7420567870140076,0.0,0.0,5.0,0.8668889625777653,0.2904106378555298,0.4950225353240967,-0.4888463616371155,-0.7651828527450562,0.007881930097937584,-0.319735512137413,False,False
9,0.18,-0.26886460185050964,-0.39381495118141174,4.280545711517334,0.017005443572998047,0.3165222406387329,0.044110726565122604,0.07688461989164352,0.12344168871641159,0.12293030321598053,-0.5108107328414917,-0.4696784019470215,0.7240447402000427,0.0,0.0,5.0,0.8631296907871667,-0.11135423183441162,-0.15071922540664673,-0.3474029302597046,-0.39324212074279785,0.00785933155566454,-0.3118761805817485,False,False
