step,time,pos_x,pos_y,pos_z,euler_z,euler_y,euler_x,vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,target_x,target_y,target_z,target_dist,action_0,action_1,action_2,action_3,reward,cumulative_reward,terminated,truncated
0,0.0,0.5037939548492432,-0.5734556913375854,5.729946136474609,3.1353695392608643,-3.1358776092529297,3.0643973350524902,0.6059491634368896,-0.45070403814315796,0.7771470546722412,0.0,0.0,0.0,0.0,0.0,5.0,1.0561634064027774,0.018282413482666016,-0.9847416281700134,-0.33186638355255127,-0.9991015791893005,-0.0509834922850132,-0.0509834922850132,False,False
1,0.02,0.5159091353416443,-0.5824181437492371,5.744198322296143,3.136293411254883,-3.132126808166504,3.0682008266448975,0.6055272817611694,-0.44557827711105347,0.6480876803398132,0.38109156489372253,-0.3809112012386322,0.06390894949436188,0.0,0.0,5.0,1.0766634910712183,-0.05870753526687622,-0.976952314376831,-0.15472018718719482,-0.9992499947547913,-0.051100317388772964,-0.10208380967378616,False,False
2,0.04,0.5280109643936157,-0.5912747979164124,5.755967617034912,3.138897180557251,-3.123626708984375,3.0768351554870605,0.6045482754707336,-0.44019392132759094,0.5288556218147278,0.4860551357269287,-0.4848927855491638,0.13714295625686646,0.0,0.0,5.0,1.0953942227236795,0.03183472156524658,-0.9743368625640869,-0.1274126172065735,-0.9991766214370728,0.006907622329890728,-0.09517618734389544,False,False
3,0.06,0.540083646774292,-0.6000236868858337,5.765468120574951,0.0015584914945065975,-0.029155394062399864,-0.05339418351650238,0.6025539636611938,-0.4348663091659546,0.421195924282074,0.6604848504066467,-0.6570164561271667,0.22134943306446075,0.0,0.0,5.0,1.1125017815507692,-0.8237135410308838,-0.7756914496421814,0.6388359069824219,-0.9629301428794861,0.006835902575403452,-0.08834028476849198,False,False
4,0.08,0.5520999431610107,-0.6086636781692505,5.773046016693115,0.007080583833158016,-0.02961699105799198,-0.05274388566613197,0.5990293025970459,-0.42917656898498535,0.3365149199962616,-0.5787053108215332,0.5821690559387207,0.32738107442855835,0.0,0.0,5.0,1.1282224799595177,0.02216196060180664,-0.8939012289047241,0.4864678382873535,-0.9802738428115845,0.00645620608702302,-0.08188407868146896,False,False
5,0.1,0.564041793346405,-0.6171638369560242,5.77929162979126,0.014001390896737576,-0.012501128017902374,-0.06955073028802872,0.5955470204353333,-0.42044320702552795,0.2880094051361084,-1.0876682996749878,1.0836399793624878,0.4678425192832947,0.0,0.0,5.0,1.1429478511946327,0.4298948049545288,-0.8717712759971619,0.21242880821228027,-0.9820131659507751,0.006543903145939112,-0.07534017553552985,False,False
6,0.12,0.5759398341178894,-0.6254518032073975,5.784696102142334,0.02332816831767559,0.007558016572147608,-0.08900994062423706,0.594778835773468,-0.40782520174980164,0.25241953134536743,-0.8568273186683655,0.8411655426025391,0.6207513809204102,0.0,0.0,5.0,1.1569981086313406,0.1729515790939331,-0.8068529963493347,0.0690910816192627,-0.9797518253326416,0.006545024458318949,-0.0687951510772109,False,False
7,0.14,0.5878474116325378,-0.6334941387176514,5.788995742797852,0.035323839634656906,0.02443689852952957,-0.10487795621156693,0.5962754487991333,-0.3960792124271393,0.1774846762418747,-0.7496957778930664,0.7221086025238037,0.7363920211791992,0.0,0.0,5.0,1.1702109576079975,0.1354532241821289,-0.7507893443107605,-0.0110090970993042,-0.9787819385528564,0.006543078925460577,-0.062252072151750326,False,False
8,0.16,0.599799633026123,-0.6412949562072754,5.791679382324219,0.049586061388254166,0.03890625387430191,-0.11787748336791992,0.5991640686988831,-0.383745938539505,0.09086132794618607,-0.5959155559539795,0.5568587183952332,0.8410835266113281,0.0,0.0,5.0,1.182275376142301,0.029637694358825684,-0.6173086166381836,-0.0694204568862915,-0.9791001677513123,0.006513150408864021,-0.055738921742886305,False,False
9,0.18,0.6118162870407104,-0.6488543748855591,5.792469024658203,0.06595708429813385,0.05101333186030388,-0.12802782654762268,0.6026504039764404,-0.37201735377311707,-0.01194032933562994,-0.493043452501297,0.4437217116355896,0.9304847717285156,0.0,0.0,5.0,1.1930374361012879,-0.10814636945724487,-0.40002596378326416,-0.14709168672561646,-0.9776405692100525,0.006455991882830858,-0.04928292986005545,False,False
10,0.2,0.6239057779312134,-0.6561838984489441,5.791088581085205,0.08406214416027069,0.06080039218068123,-0.13757696747779846,0.6063910126686096,-0.3607941269874573,-0.12612120807170868,-0.5633401274681091,0.28691980242729187,0.9905180931091309,0.0,0.0,5.0,1.2023547194746689,-0.2381058931350708,-0.281868577003479,-0.2531532049179077,-0.9693961143493652,0.006339974235743284,-0.04294295562431216,False,False
