step,time,pos_x,pos_y,pos_z,euler_z,euler_y,euler_x,vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,target_x,target_y,target_z,target_dist,action_0,action_1,action_2,action_3,reward,cumulative_reward,terminated,truncated
0,0.0,-0.4953293800354004,-0.7765461802482605,4.417698383331299,0.10870297253131866,0.11327563971281052,-0.1612015664577484,-0.5822688341140747,-0.4173671007156372,-0.9860787391662598,0.0,0.0,0.0,0.0,0.0,5.0,1.0897019489564113,-0.18256878852844238,0.3208801746368408,0.9829310178756714,0.7326173782348633,0.0062263295985758305,0.0062263295985758305,False,False
1,0.02,-0.5066134929656982,-0.7842397093772888,4.399721145629883,0.10562049597501755,0.1301647573709488,-0.1697770655155182,-0.5452756881713867,-0.3514486849308014,-0.8118534088134766,-0.8200283646583557,1.716283917427063,-0.023568259552121162,0.0,0.0,5.0,1.1099657003813137,0.8246862888336182,0.004068255424499512,0.9286541938781738,0.30966734886169434,0.005908629857003689,0.01213495945557952,False,False
2,0.04,-0.5170454382896423,-0.7905240654945374,4.385412693023682,0.09954267740249634,0.16848944127559662,-0.18488651514053345,-0.49557822942733765,-0.2758041024208069,-0.6195030212402344,-0.6016221642494202,2.161623477935791,0.11046657711267471,0.0,0.0,5.0,1.1269347102998217,0.8931705951690674,0.007222175598144531,0.8223323822021484,0.12948215007781982,0.005856729112565517,0.017991688568145037,False,False
3,0.06,-0.5263636708259583,-0.7952715754508972,4.374712944030762,0.09477093815803528,0.21217817068099976,-0.19575069844722748,-0.4336780309677124,-0.19806356728076935,-0.45113375782966614,-0.39599281549453735,2.216585874557495,0.25746116042137146,0.0,0.0,5.0,1.1403944471314331,0.8871829509735107,0.1385195255279541,0.5788087844848633,0.01831209659576416,0.0062162429094314575,0.024207931477576494,False,False
4,0.08,-0.5343329310417175,-0.7984647750854492,4.367125988006592,0.09312434494495392,0.2523135840892792,-0.2020578235387802,-0.3610270917415619,-0.12070184201002121,-0.30817559361457825,-0.19820910692214966,1.7492128610610962,0.3793507516384125,0.0,0.0,5.0,1.1504725956338648,0.7343630790710449,0.3661760091781616,0.23079168796539307,0.12531518936157227,0.006655028089880943,0.030862959567457438,False,False
5,0.1,-0.5407635569572449,-0.8001192212104797,4.362208843231201,0.09566586464643478,0.28025946021080017,-0.2025463581085205,-0.2805612087249756,-0.04451309144496918,-0.18390753865242004,0.08168880641460419,0.9389369487762451,0.4234515130519867,0.0,0.0,5.0,1.1573217151406079,0.37548625469207764,0.3248080015182495,0.19121778011322021,0.25035905838012695,0.006769387982785702,0.03763234755024314,False,False
6,0.12,-0.5455883741378784,-0.8003129363059998,4.359466552734375,0.10099519789218903,0.2975941300392151,-0.19823482632637024,-0.201113760471344,0.025088487192988396,-0.09055674821138382,0.19743141531944275,0.6580794453620911,0.42266353964805603,0.0,0.0,5.0,1.1612280426682478,0.14627861976623535,0.19503486156463623,0.03432965278625488,0.24703896045684814,0.0068009695969522,0.04443331714719534,False,False
7,0.14,-0.5489166975021362,-0.7992348670959473,4.358103275299072,0.10689704865217209,0.311467707157135,-0.19076137244701385,-0.13118122518062592,0.08254718780517578,-0.04591958969831467,0.3729744255542755,0.594149112701416,0.3983196020126343,0.0,0.0,5.0,1.162805795806121,0.1380019187927246,0.17517399787902832,0.04613780975341797,0.052474379539489746,0.006865870673209429,0.05129918782040477,False,False
8,0.16,-0.5508729815483093,-0.797065794467926,4.357432842254639,0.11322826147079468,0.3223332166671753,-0.18168415129184723,-0.06403893977403641,0.13413169980049133,-0.0211939737200737,0.3373153805732727,0.3622441589832306,0.39426863193511963,0.0,0.0,5.0,1.1626123492908813,0.1582190990447998,0.06298398971557617,0.07111537456512451,0.008009910583496094,0.006885941606014967,0.058185129426419735,False,False
9,0.18,-0.5514967441558838,-0.7939023375511169,4.357151985168457,0.12051058560609818,0.32937246561050415,-0.1722685992717743,0.0019137781346216798,0.18198950588703156,-0.006958776619285345,0.37100285291671753,0.20922838151454926,0.40901100635528564,0.0,0.0,5.0,1.160897562473332,0.17211651802062988,-0.01506650447845459,0.055420875549316406,-0.05427277088165283,0.006882604211568832,0.06506773363798857,False,False
