step,time,pos_x,pos_y,pos_z,euler_z,euler_y,euler_x,vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,target_x,target_y,target_z,target_dist,action_0,action_1,action_2,action_3,reward,cumulative_reward,terminated,truncated
0,0.0,-0.30167388916015625,-0.15198063850402832,5.923839092254639,0.009898737072944641,0.020173901692032814,-0.09936834871768951,0.03561508655548096,0.45096659660339355,0.45490944385528564,0.0,0.0,0.0,0.0,0.0,5.0,0.9836584357687281,-0.521858274936676,-0.9897592663764954,-0.5774768590927124,-0.4723668098449707,0.007699804846197367,0.007699804846197367,False,False
1,0.02,-0.30096104741096497,-0.1429586261510849,5.931002616882324,0.009843341074883938,0.02047055959701538,-0.09906879812479019,0.0356670580804348,0.451235830783844,0.261406272649765,0.03006819821894169,0.030067626386880875,-0.0025727872271090746,0.0,0.0,5.0,0.9888278887103895,-0.5006735324859619,-0.9825589656829834,-0.5576139092445374,-0.35128700733184814,0.007703374605625868,0.015403179451823235,False,False
2,0.04,-0.30024486780166626,-0.13391949236392975,5.934414863586426,0.009437165223062038,0.02266077697277069,-0.0968579426407814,0.03596040979027748,0.45267149806022644,0.07972124963998795,0.1918986439704895,0.19187051057815552,-0.01641876995563507,0.0,0.0,5.0,0.9905617337488317,-0.42796558141708374,-0.9679316282272339,-0.5602633953094482,-0.3481658697128296,0.007679229136556387,0.02308240858837962,False,False
3,0.06,-0.2995206415653229,-0.12484505772590637,5.934266090393066,0.008594636805355549,0.027307385578751564,-0.09060458838939667,0.03647829219698906,0.4547489881515503,-0.09462197870016098,0.4355454742908478,0.27862948179244995,-0.0238485187292099,0.0,0.0,5.0,0.9890156878536522,-0.32107245922088623,-0.9374139904975891,-0.5367428064346313,-0.3464183211326599,0.007616490591317415,0.030698899179697037,False,False
4,0.08,-0.2987819015979767,-0.11572141945362091,5.930736064910889,0.007692079991102219,0.032544974237680435,-0.07830189913511276,0.03741857782006264,0.45755255222320557,-0.25833743810653687,0.7974192500114441,0.25089573860168457,-0.021488681435585022,0.0,0.0,5.0,0.9843432806539951,-0.30651235580444336,-0.862714409828186,-0.5017056465148926,-0.3847377300262451,0.00751913757994771,0.03821803675964475,False,False
5,0.1,-0.2980234920978546,-0.10654805600643158,5.9239091873168945,0.007044839672744274,0.03667464852333069,-0.059015851467847824,0.03844462335109711,0.45969119668006897,-0.4243426024913788,1.133415699005127,0.16558873653411865,-0.014205499552190304,0.0,0.0,5.0,0.9766159309009423,-0.30069953203201294,-0.739159345626831,-0.4337737560272217,-0.43063783645629883,0.007447462994605303,0.04566549975425005,False,False
6,0.12,-0.2972424626350403,-0.09733689576387405,5.913787841796875,0.006817635614424944,0.03928349167108536,-0.03415320813655853,0.03967782482504845,0.46129247546195984,-0.5877529978752136,1.3536977767944336,0.09619653970003128,0.004058442078530788,0.0,0.0,5.0,0.9658342366504106,-0.2745335102081299,-0.6095903515815735,-0.38174188137054443,-0.45277339220046997,0.0073872399516403675,0.05305273970589042,False,False
7,0.14,-0.2964337468147278,-0.08810076862573624,5.900453567504883,0.00714642321690917,0.04056233540177345,-0.005385697819292545,0.04120335355401039,0.4621407687664032,-0.7456417679786682,1.5217291116714478,0.031219007447361946,0.03166395425796509,0.0,0.0,5.0,0.9520773807392623,-0.30436599254608154,-0.45005321502685547,-0.3518795967102051,-0.4316871166229248,0.007377253845334053,0.06042999355122447,False,False
8,0.16,-0.29559123516082764,-0.07885919511318207,5.884031772613525,0.007991819642484188,0.04086659848690033,0.02580011449754238,0.043052393943071365,0.4617857038974762,-0.8965590596199036,1.5934066772460938,0.00023393209266941994,0.05265871062874794,0.0,0.0,5.0,0.9354705371886463,-0.32000732421875,-0.3524339199066162,-0.2841431498527527,-0.4112669825553894,0.007472630590200424,0.0679026241414249,False,False
9,0.18,-0.29470470547676086,-0.06964458525180817,5.864756107330322,0.009182450361549854,0.04058106616139412,0.056686412543058395,0.04559973254799843,0.45935961604118347,-1.0308475494384766,1.4903737306594849,-0.02373124659061432,0.06751371920108795,0.0,0.0,5.0,0.9162447035864014,-0.2667694687843323,-0.33321595191955566,-0.23440104722976685,-0.3721362352371216,0.0075513990595936775,0.07545402320101857,False,False
