step,time,pos_x,pos_y,pos_z,euler_z,euler_y,euler_x,vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,target_x,target_y,target_z,target_dist,action_0,action_1,action_2,action_3,reward,cumulative_reward,terminated,truncated
0,0.0,0.29453766345977783,-0.9861375093460083,5.183314323425293,3.0281906127929688,-3.0049870014190674,3.074476957321167,0.9790235757827759,-0.46409034729003906,0.9810628890991211,0.0,0.0,0.0,0.0,0.0,5.0,1.0453821137308439,-0.23395872116088867,-0.8710269927978516,-0.17236095666885376,-0.9991917014122009,-0.04821694269776344,-0.04821694269776344,False,False
1,0.02,0.3140439987182617,-0.9953715801239014,5.201549053192139,3.0287015438079834,-3.005692958831787,3.073737382888794,0.9716148376464844,-0.4593047499656677,0.8424311876296997,-0.06703874468803406,0.06701131165027618,0.05527472868561745,0.0,0.0,5.0,1.0630193961033614,-0.12334311008453369,-0.876876711845398,-0.20338648557662964,-0.9987066388130188,-0.04826495051383972,-0.09648189321160316,False,False
2,0.04,0.33339279890060425,-1.0045028924942017,5.217088222503662,3.0304136276245117,-3.0062789916992188,3.073035955429077,0.9632738828659058,-0.4538290500640869,0.7115210294723511,0.020039789378643036,-0.020102307200431824,0.11795975267887115,0.0,0.0,5.0,1.0804184910199361,-0.009309172630310059,-0.8691043257713318,-0.19823628664016724,-0.9984299540519714,-0.048363324254751205,-0.14484521746635437,False,False
3,0.06,0.3525599241256714,-1.0135151147842407,5.2301249504089355,3.0336999893188477,-3.0040383338928223,3.075047731399536,0.9534034729003906,-0.44742628931999207,0.5921652913093567,0.225838765501976,-0.22545042634010315,0.191741481423378,0.0,0.0,5.0,1.097482975173796,0.06400775909423828,-0.8643987774848938,-0.1498342752456665,-0.9982654452323914,-0.04853810742497444,-0.1933833248913288,False,False
4,0.08,0.37151089310646057,-1.0223922729492188,5.240891933441162,3.038860559463501,-2.9975218772888184,3.0811755657196045,0.9415899515151978,-0.44038423895835876,0.4845844507217407,0.459429532289505,-0.45722395181655884,0.2768558859825134,0.0,0.0,5.0,1.1141522459161723,0.10956501960754395,-0.8651853203773499,-0.10784399509429932,-0.9982876181602478,-0.048792365938425064,-0.24217569082975388,False,False
5,0.1,0.3902056813240051,-1.031129002571106,5.24959135055542,3.046034336090088,-2.986405372619629,3.091679811477661,0.927690863609314,-0.43344810605049133,0.3854166567325592,0.69808030128479,-0.6916887760162354,0.37012141942977905,0.0,0.0,5.0,1.1303907890428395,0.15727221965789795,-0.8689844012260437,-0.06927794218063354,-0.9983952641487122,-0.04913273826241493,-0.2913084290921688,False,False
6,0.12,0.40859583020210266,-1.0397332906723022,5.256390571594238,3.0552542209625244,-2.9705140590667725,3.106645107269287,0.9110205173492432,-0.42723017930984497,0.2944532036781311,0.9484177231788635,-0.9343299865722656,0.4714195132255554,0.0,0.0,5.0,1.1461814836199458,0.20280373096466064,-0.8745682239532471,-0.03083115816116333,-0.9985820651054382,-0.049562688916921616,-0.3408711180090904,False,False
7,0.14,0.4266180992126465,-1.0482268333435059,5.261448860168457,3.0664877891540527,-2.949615955352783,3.1261863708496094,0.8907889127731323,-0.42248958349227905,0.211326003074646,1.2088499069213867,-1.1822220087051392,0.5805364847183228,0.0,0.0,5.0,1.1615240002688498,0.21128785610198975,-0.8570054769515991,0.06776392459869385,-0.998892068862915,-0.04976929724216461,-0.39064041525125504,False,False
8,0.16,0.44418784976005554,-1.0566473007202148,5.2649431228637695,3.079660177230835,-2.9245450496673584,-3.1338508129119873,0.8656448125839233,-0.4200518727302551,0.1380249410867691,1.3739681243896484,-1.329190731048584,0.6996227502822876,0.0,0.0,5.0,1.1764358131009887,-0.49356627464294434,-0.9798951745033264,0.9726721048355103,-0.9930938482284546,-0.049213215708732605,-0.43985363095998764,False,False
9,0.18,0.4611804485321045,-1.0650475025177002,5.267156600952148,3.0952913761138916,-2.913760185241699,-3.1257529258728027,0.833302915096283,-0.42029157280921936,0.08327239006757736,-0.21715912222862244,0.2709864377975464,0.8373352289199829,0.0,0.0,5.0,1.1909602168669486,0.561514139175415,-0.9651587009429932,0.7850512266159058,-0.9838037490844727,-0.049873195588588715,-0.48972682654857635,False,False
